drug_name,molecular_formula,molecular_weight,iupac_name,side_effects
Paracetamol,C8H9NO2,151.16,"N-(4-hydroxyphenyl)acetamide","Nausea:800|Rash:450|Headache:400|Liver damage:350|Dizziness:300"
Acetylsalicylic Acid,C9H8O4,180.16,"2-acetoxybenzoic acid","Stomach pain:1200|Heartburn:980|Nausea:850|Bleeding:600|Allergic reaction:320"
Atorvastatin,C33H35FN2O5,558.64,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid","Muscle pain:1100|Liver problems:650|Headache:600|Nausea:550|Joint pain:480"
Tramadol,C16H25NO2,263.38,"(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol","Dizziness:1300|Nausea:1100|Constipation:950|Headache:800|Drowsiness:750"
Morphine,C17H19NO3,285.34,"(5α,6α)-7,8-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol","Respiratory depression:1400|Constipation:1200|Nausea:1050|Drowsiness:950|Itching:800"
Furosemide,C12H11ClN2O5S,330.74,"4-chloro-2-[(furan-2-ylmethyl)amino]-5-sulfamoylbenzoic acid","Dehydration:1000|Electrolyte imbalance:950|Dizziness:700|Increased urination:650|Hearing problems:300"
Amoxicillin,C16H19N3O5S,365.40,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","Diarrhea:950|Rash:800|Nausea:600|Allergic reaction:450|Abdominal pain:400"
Lansoprazole,C16H14F3N3O2S,369.36,"2-([3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl)-1H-benzimidazole","Headache:700|Diarrhea:600|Nausea:550|Abdominal pain:450|Dizziness:350"
Clopidogrel,C16H16ClNO2S,321.82,"methyl (2S)-2-(2-chlorophenyl)-2-(6,7-dihydrothieno[3,2-c]pyridin-5(4H)-yl)acetate","Bleeding:850|Bruising:700|Headache:550|Dizziness:400|Rash:350"
Levetiracetam,C8H14N2O2,170.21,"(2S)-2-(2-oxopyrrolidin-1-yl)butanamide","Drowsiness:1100|Dizziness:950|Weakness:700|Mood changes:650|Headache:600"
Nefiracetam,C14H18N2O2,246.31,"2-(2-oxo-1-pyrrolidinyl)-N-(2,6-dimethylphenyl)acetamide","Headache:500|Dizziness:400|Nausea:300|Insomnia:200|Gastrointestinal discomfort:150"
Dolo,C8H9NO2,151.16,"N-(4-hydroxyphenyl)acetamide","NAUSEA:800|RASH:450|HEADACHE:400|LIVER DAMAGE:350|DIZZINESS:300"